Year,USA Total Housing Units (Bowen),Housing Units Multiplier (Bowen),
,,2022 Units/landfall units,
1850,"3,174,657.00",45.77596855,* Between census years data is interpolated
1851,"3,321,631.48",43.7504883,
1852,"3,468,605.95",41.89665851,
1853,"3,615,580.43",40.19354624,
1854,"3,762,554.90",38.62348932,
1855,"3,909,529.38",37.17148154,
1856,"4,056,503.85",35.8246915,
1857,"4,203,478.33",34.5720824,
1858,"4,350,452.80",33.40410888,
1859,"4,497,427.28",32.31247336,
1860,"4,644,401.75",31.28992857,
1861,"4,791,376.23",30.33011648,
1862,"4,938,350.70",29.42743597,
1863,"5,085,325.18",28.57693343,
1864,"5,232,299.65",27.77421186,
1865,"5,379,274.13",27.01535479,
1866,"5,526,248.60",26.2968624,
1867,"5,673,223.08",25.61559753,
1868,"5,820,197.55",24.96873994,
1869,"5,967,172.03",24.3537472,
1870,"6,114,146.50",23.76832138,
1871,"6,261,120.98",23.21038031,
1872,"6,408,095.45",22.67803283,
1873,"6,555,069.93",22.16955741,
1874,"6,702,044.40",21.68338351,
1875,"6,849,018.88",21.21807541,
1876,"6,995,993.35",20.77231806,
1877,"7,142,967.83",20.34490461,
1878,"7,289,942.30",19.93472555,
1879,"7,436,916.78",19.54075908,
1880,"7,583,891.25",19.16206262,
1881,"7,730,865.73",18.79776524,
1882,"7,877,840.20",18.44706104,
1883,"8,024,814.68",18.10920313,
1884,"8,171,789.15",17.78349837,
1885,"8,318,763.63",17.4693026,
1886,"8,465,738.10",17.16601639,
1887,"8,612,712.58",16.87308124,
1888,"8,759,687.05",16.58997612,
1889,"8,906,661.53",16.3162144,
1890,"11,495,723.00",12.64148405,
1891,"11,768,987.70",12.34796082,
1892,"12,042,252.40",12.06775894,
1893,"12,315,517.10",11.79999165,
1894,"12,588,781.80",11.54384922,
1895,"12,862,046.50",11.2985907,
1896,"13,135,311.20",11.06353681,
1897,"13,408,575.90",10.83806365,
1898,"13,681,840.60",10.62159714,
1899,"13,955,105.30",10.4136082,
1900,"14,418,960.98",10.07860408,
1901,"14,721,343.49",9.871585368,
1902,"15,023,726.01",9.672899979,
1903,"15,326,108.52",9.482054679,
1904,"15,628,491.04",9.298594383,
1905,"15,930,873.55",9.122098581,
1906,"16,233,256.06",8.952178076,
1907,"16,535,638.58",8.788472141,
1908,"16,838,021.09",8.630645978,
1909,"17,140,403.61",8.478388392,
1910,"17,797,272.12",8.165464798,
1911,"18,068,018.21",8.043106738,
1912,"18,338,764.30",7.924361567,
1913,"18,609,510.38",7.8090716,
1914,"18,880,256.47",7.697088185,
1915,"19,151,002.56",7.588271086,
1916,"19,421,748.65",7.482487886,
1917,"19,692,494.74",7.379613448,
1918,"19,963,240.82",7.279529427,
1919,"20,233,986.91",7.182123802,
1920,"20,737,265.00",7.007818967,
1921,"21,228,739.90",6.845578197,
1922,"21,720,214.80",6.690679643,
1923,"22,211,689.70",6.542635926,
1924,"22,703,164.60",6.401001867,
1925,"23,194,639.50",6.265370022,
1926,"23,686,114.40",6.135366762,
1927,"24,177,589.30",6.010648837,
1928,"24,669,064.20",5.890900353,
1929,"25,160,539.10",5.775830097,
1930,"25,693,587.00",5.656002761,
1931,"26,862,320.80",5.409919719,
1932,"28,031,054.60",5.184357174,
1933,"29,199,788.40",4.976851099,
1934,"30,368,522.20",4.785316784,
1935,"31,537,256.00",4.607978544,
1936,"32,705,989.80",4.443314509,
1937,"33,874,723.60",4.290012834,
1938,"35,043,457.40",4.146936683,
1939,"36,212,191.20",4.013095982,
1940,"37,380,925.00",3.887624477,
1941,"38,244,588.20",3.799831711,
1942,"39,108,251.40",3.71591656,
1943,"39,971,914.60",3.635627676,
1944,"40,835,577.80",3.558734976,
1945,"41,699,241.00",3.485027437,
1946,"42,562,904.20",3.414311164,
1947,"43,426,567.40",3.346407688,
1948,"44,290,230.60",3.281152458,
1949,"45,153,893.80",3.218393515,
1950,"46,028,654.00",3.157228951,
1951,"47,244,883.60",3.075952102,
1952,"48,461,113.20",2.998754866,
1953,"49,677,342.80",2.925337605,
1954,"50,893,572.40",2.855429323,
1955,"52,109,802.00",2.788784325,
1956,"53,326,031.60",2.725179329,
1957,"54,542,261.20",2.664410969,
1958,"55,758,490.80",2.606293623,
1959,"56,974,720.40",2.550657519,
1960,"58,199,713.00",2.496971059,
1961,"59,234,087.70",2.453367725,
1962,"60,268,462.40",2.411261101,
1963,"61,302,837.10",2.370575423,
1964,"62,337,211.80",2.331239958,
1965,"63,371,586.50",2.293188589,
1966,"64,405,961.20",2.256359447,
1967,"65,440,335.90",2.220694576,
1968,"66,474,710.60",2.186139626,
1969,"67,509,085.30",2.152643579,
1970,"68,657,122.00",2.116648569,
1971,"70,625,305.40",2.057661884,
1972,"72,593,488.80",2.001873741,
1973,"74,561,672.20",1.949030845,
1974,"76,529,855.60",1.898905961,
1975,"78,498,039.00",1.851294642,
1976,"80,466,222.40",1.806012444,
1977,"82,434,405.80",1.76289254,
1978,"84,402,589.20",1.721783661,
1979,"86,370,772.60",1.682548328,
1980,"88,367,084.00",1.644537676,
1981,"89,748,124.00",1.619231606,
1982,"91,129,164.00",1.594692551,
1983,"92,510,204.00",1.570886159,
1984,"93,891,244.00",1.5477801,
1985,"95,272,284.00",1.525343918,
1986,"96,653,324.00",1.5035489,
1987,"98,034,364.00",1.482367948,
1988,"99,415,404.00",1.461775471,
1989,"100,796,444.00",1.44174728,
1990,"102,200,102.00",1.421945733,
1991,"103,605,283.40",1.402660118,
1992,"105,010,467.80",1.383890597,
1993,"106,415,652.20",1.365616768,
1994,"107,820,836.60",1.347819249,
1995,"109,226,021.00",1.330479657,
1996,"110,631,205.40",1.313580544,
1997,"112,036,389.80",1.297105336,
1998,"113,441,574.20",1.281038279,
1999,"114,846,758.60",1.265364393,
2000,"116,329,263.00",1.249238543,
2001,"118,068,613.70",1.230835143,
2002,"119,757,444.10",1.213477793,
2003,"121,520,352.00",1.19587375,
2004,"123,413,446.60",1.177529702,
2005,"125,453,048.80",1.158385551,
2006,"127,389,142.70",1.1407801,
2007,"129,181,481.20",1.124952258,
2008,"130,517,415.40",1.113437609,
2009,"131,335,047.30",1.106505856,
2010,"131,695,775.00",1.103475028,
2011,"132,319,860.00",1.098270501,
2012,"132,832,754.00",1.094029858,
2013,"133,522,842.00",1.088375568,
2014,"134,349,715.00",1.081677017,
2015,"135,227,822.00",1.074653107,
2016,"136,201,308.00",1.066972125,
2017,"137,259,122.00",1.058749298,
2018,"138,391,663.00",1.050084925,
2019,"139,553,048.00",1.041345933,
2020,"142,332,814.00",1.021008402,
2021,"143,688,106.00",1.011378068,
2022,"145,322,999.00",1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
