Date,Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods,Wealth Ratio,,,,,,,,,,,,,,,,,,,,,,,
1900,138.9,673.6643295,"U.S. Bureau of Economic Analysis, Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods [K1WTOTL1ES000], retrieved from FRED, Federal Reserve Bank of St. Louis; https://fred.stlouisfed.org/series/K1WTOTL1ES000, April 14, 2023",,,,,,,,,,,,,,,,,,,,,,
1901,143.2,653.4543996,https://fred.stlouisfed.org/series/K1WTOTL1ES000,,,,,,,,,,,,,,,,,,,,,,
1902,147.7,633.8507674,*numbers before 1925 calculated as 3% less that the preceding year after Pielke 2008,,,,,,,,,,,,,,,,,,,,,,
1903,152.2,614.8352447,*Wealth ratio = 2022 CCNSFACDG/year CCNSFACDG,,,,,,,,,,,,,,,,,,,,,,
1904,156.9,596.3901872,,,,,,,,,,,,,,,,,,,,,,,
1905,161.8,578.4984817,,,,,,,,,,,,,,,,,,,,,,,
1906,166.8,561.1435271,,,,,,,,,,,,,,,,,,,,,,,
1907,171.9,544.3092213,,,,,,,,,,,,,,,,,,,,,,,
1908,177.3,527.9799448,,,,,,,,,,,,,,,,,,,,,,,
1909,182.7,512.1405464,,,,,,,,,,,,,,,,,,,,,,,
1910,188.4,496.7763299,,,,,,,,,,,,,,,,,,,,,,,
1911,194.2,481.8730402,,,,,,,,,,,,,,,,,,,,,,,
1912,200.2,467.4168489,,,,,,,,,,,,,,,,,,,,,,,
1913,206.4,453.3943434,,,,,,,,,,,,,,,,,,,,,,,
1914,212.8,439.7925131,,,,,,,,,,,,,,,,,,,,,,,
1915,219.4,426.5987376,,,,,,,,,,,,,,,,,,,,,,,
1916,226.2,413.8007757,,,,,,,,,,,,,,,,,,,,,,,
1917,233.2,401.3867524,,,,,,,,,,,,,,,,,,,,,,,
1918,240.4,389.3451498,,,,,,,,,,,,,,,,,,,,,,,
1919,247.8,377.6647952,,,,,,,,,,,,,,,,,,,,,,,
1920,255.5,366.3348514,,,,,,,,,,,,,,,,,,,,,,,
1921,263.4,355.3448058,,,,,,,,,,,,,,,,,,,,,,,
1922,271.5,344.6844617,,,,,,,,,,,,,,,,,,,,,,,
1923,279.9,334.3439278,,,,,,,,,,,,,,,,,,,,,,,
1924,288.6,324.31361,,,,,,,,,,,,,,,,,,,,,,,
1925,297.6,314.4784946,,,,,,,,,,,,,,,,,,,,,,,
1926,307.8,304.05718,,,,,,,,,,,,,,,,,,,,,,,
1927,315.7,296.4485271,,,,,,,,,,,,,,,,,,,,,,,
1928,328.3,285.0709717,,,,,,,,,,,,,,,,,,,,,,,
1929,333.6,280.5419664,,,,,,,,,,,,,,,,,,,,,,,
1930,318.6,293.7501569,,,,,,,,,,,,,,,,,,,,,,,
1931,277.7,337.0140439,,,,,,,,,,,,,,,,,,,,,,,
1932,250.8,373.1610845,,,,,,,,,,,,,,,,,,,,,,,
1933,264.1,354.3687997,,,,,,,,,,,,,,,,,,,,,,,
1934,273.9,341.6896678,,,,,,,,,,,,,,,,,,,,,,,
1935,275,340.3229091,,,,,,,,,,,,,,,,,,,,,,,
1936,304.3,307.5543871,,,,,,,,,,,,,,,,,,,,,,,
1937,320.7,291.8266292,,,,,,,,,,,,,,,,,,,,,,,
1938,323.3,289.4797402,,,,,,,,,,,,,,,,,,,,,,,
1939,329.7,283.8604792,,,,,,,,,,,,,,,,,,,,,,,
1940,355,263.6304225,,,,,,,,,,,,,,,,,,,,,,,
1941,405.4,230.8554514,,,,,,,,,,,,,,,,,,,,,,,
1942,469.8,199.2098765,,,,,,,,,,,,,,,,,,,,,,,
1943,528.3,177.1508613,,,,,,,,,,,,,,,,,,,,,,,
1944,566,165.3512367,,,,,,,,,,,,,,,,,,,,,,,
1945,608.8,153.7266754,,,,,,,,,,,,,,,,,,,,,,,
1946,701.3,133.4504492,,,,,,,,,,,,,,,,,,,,,,,
1947,807.5,115.8994427,,,,,,,,,,,,,,,,,,,,,,,
1948,863.1,108.4333217,,,,,,,,,,,,,,,,,,,,,,,
1949,876.8,106.7390511,,,,,,,,,,,,,,,,,,,,,,,
1950,979.5,95.54752425,,,,,,,,,,,,,,,,,,,,,,,
1951,1077.3,86.87348,,,,,,,,,,,,,,,,,,,,,,,
1952,1140,82.0954386,,,,,,,,,,,,,,,,,,,,,,,
1953,1186.4,78.88469319,,,,,,,,,,,,,,,,,,,,,,,
1954,1238.7,75.5540486,,,,,,,,,,,,,,,,,,,,,,,
1955,1345.2,69.57240559,,,,,,,,,,,,,,,,,,,,,,,
1956,1460.6,64.07558538,,,,,,,,,,,,,,,,,,,,,,,
1957,1537.9,60.85493205,,,,,,,,,,,,,,,,,,,,,,,
1958,1587.6,58.94986143,,,,,,,,,,,,,,,,,,,,,,,
1959,1651.3,56.67583116,,,,,,,,,,,,,,,,,,,,,,,
1960,1705.9,54.86183246,,,,,,,,,,,,,,,,,,,,,,,
1961,1768.5,52.9198756,,,,,,,,,,,,,,,,,,,,,,,
1962,1847.4,50.65973801,,,,,,,,,,,,,,,,,,,,,,,
1963,1922.2,48.6883779,,,,,,,,,,,,,,,,,,,,,,,
1964,2044.9,45.76693237,,,,,,,,,,,,,,,,,,,,,,,
1965,2182,42.89129239,,,,,,,,,,,,,,,,,,,,,,,
1966,2369.1,39.50394665,,,,,,,,,,,,,,,,,,,,,,,
1967,2557,36.60101682,,,,,,,,,,,,,,,,,,,,,,,
1968,2813.2,33.26773781,,,,,,,,,,,,,,,,,,,,,,,
1969,3073.5,30.45023589,,,,,,,,,,,,,,,,,,,,,,,
1970,3344.7,27.98122403,,,,,,,,,,,,,,,,,,,,,,,
1971,3672.2,25.48575786,,,,,,,,,,,,,,,,,,,,,,,
1972,4031,23.21726619,,,,,,,,,,,,,,,,,,,,,,,
1973,4564.5,20.50362581,,,,,,,,,,,,,,,,,,,,,,,
1974,5413.2,17.28899727,,,,,,,,,,,,,,,,,,,,,,,
1975,5854.6,15.98551566,,,,,,,,,,,,,,,,,,,,,,,
1976,6382.5,14.66334508,,,,,,,,,,,,,,,,,,,,,,,
1977,7120.2,13.14412517,,,,,,,,,,,,,,,,,,,,,,,
1978,8054.9,11.61886554,,,,,,,,,,,,,,,,,,,,,,,
1979,9255.1,10.11213277,,,,,,,,,,,,,,,,,,,,,,,
1980,10502.3,8.911267056,,,,,,,,,,,,,,,,,,,,,,,
1981,11550.5,8.102575646,,,,,,,,,,,,,,,,,,,,,,,
1982,12185.7,7.680215334,,,,,,,,,,,,,,,,,,,,,,,
1983,12643,7.402420312,,,,,,,,,,,,,,,,,,,,,,,
1984,13408.5,6.979811314,,,,,,,,,,,,,,,,,,,,,,,
1985,14135,6.62106827,,,,,,,,,,,,,,,,,,,,,,,
1986,15069.5,6.210478118,,,,,,,,,,,,,,,,,,,,,,,
1987,15993.7,5.851604069,,,,,,,,,,,,,,,,,,,,,,,
1988,17027.1,5.496461523,,,,,,,,,,,,,,,,,,,,,,,
1989,18018,5.194183594,,,,,,,,,,,,,,,,,,,,,,,
1990,18893.6,4.953465724,,,,,,,,,,,,,,,,,,,,,,,
1991,19388.8,4.826951642,,,,,,,,,,,,,,,,,,,,,,,
1992,20191.5,4.635059307,,,,,,,,,,,,,,,,,,,,,,,
1993,21201.8,4.414191248,,,,,,,,,,,,,,,,,,,,,,,
1994,22449.9,4.168784716,,,,,,,,,,,,,,,,,,,,,,,
1995,23527.5,3.9778472,,,,,,,,,,,,,,,,,,,,,,,
1996,24627.4,3.800190032,,,,,,,,,,,,,,,,,,,,,,,
1997,25885.7,3.615463364,,,,,,,,,,,,,,,,,,,,,,,
1998,27304.4,3.427608737,,,,,,,,,,,,,,,,,,,,,,,
1999,29031.8,3.223665084,,,,,,,,,,,,,,,,,,,,,,,
2000,30958.8,3.023011228,,,,,,,,,,,,,,,,,,,,,,,
2001,32672.8,2.864425455,,,,,,,,,,,,,,,,,,,,,,,
2002,34261.7,2.731586582,,,,,,,,,,,,,,,,,,,,,,,
2003,36072.6,2.594456734,,,,,,,,,,,,,,,,,,,,,,,
2004,39609.2,2.362804601,,,,,,,,,,,,,,,,,,,,,,,
2005,43396.6,2.156592913,,,,,,,,,,,,,,,,,,,,,,,
2006,46804,1.999589779,,,,,,,,,,,,,,,,,,,,,,,
2007,48881.7,1.914597897,,,,,,,,,,,,,,,,,,,,,,,
2008,50485.2,1.853786852,,,,,,,,,,,,,,,,,,,,,,,
2009,49639.1,1.885384707,,,,,,,,,,,,,,,,,,,,,,,
2010,50514.5,1.852711598,,,,,,,,,,,,,,,,,,,,,,,
2011,52216.3,1.792329215,,,,,,,,,,,,,,,,,,,,,,,
2012,53797.9,1.739636677,,,,,,,,,,,,,,,,,,,,,,,
2013,56258.9,1.66353768,,,,,,,,,,,,,,,,,,,,,,,
2014,58435.1,1.601585349,,,,,,,,,,,,,,,,,,,,,,,
2015,59895.5,1.562534748,,,,,,,,,,,,,,,,,,,,,,,
2016,62369,1.500565986,,,,,,,,,,,,,,,,,,,,,,,
2017,64930.3,1.441373288,,,,,,,,,,,,,,,,,,,,,,,
2018,68251.8,1.371228305,,,,,,,,,,,,,,,,,,,,,,,
2019,70997.6,1.318196671,,,,,,,,,,,,,,,,,,,,,,,
2020,74284.8,1.259864737,,,,,,,,,,,,,,,,,,,,,,,
2021,84439.2,1.108357256,,,,,,,,,,,,,,,,,,,,,,,
2022,93588.8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
